set_num,name,num_parts
1245-1,T- and Intersection Plates,2
1245-2,Lighting Device Pack,3
1246-1,Helicopter,26
1247-1,Patrol Car,32
1247-2,Esso Pumps/Sign,2
1248-1,Fire Boat,24
1248-2,Painted Trees and Bushes,6
1249-1,Tri-motorbike,17
1250-1,Dragster,24
125-1,Tipping Wagon,20
1251-1,Go-Cart,25
125-2,Building Set,234
1252-1,Shell Tanker,106
1253-1,Shell Car Transporter,101
1254-1,Shell Select Shop,164
1255-1,Shell Car Wash,136
1256-1,Shell Petrol Pump,156
1257-1,Trike Buggy,30
1258-1,Propellor Buggy,29
1259-1,Motorbike,28
1260-1,Car,26
1260-2,1:87 Twenty Four Models,24
126-1,Steam Locomotive (Push),60
1263-1,Easter Bunny,29
1264-1,Easter Chicks,29
1265-1,Moon Buggy,25
1266-1,Space Probe,23
1267-1,Shock Absorbers,4
1268-1,Bike Blaster,28
1269-1,White Ninja,23
1270-2,Trial Size Bag - Chromika,16
127-1,Train Set,365
1271-1,Jungle Surprise,33
1271-2,Traffic Police Set,6
1272-1,Blue Racer,23
1273-1,Red Four Wheel Driver,20
1274-1,Light Hover,25
1275-1,{Rock Saw Vehicle},22
1276-1,Helicopter Transport,22
1277-1,Drill Craft,27
1278-1,Johnny Thunder & Baby T,23
1279-1,Aeroplane,21
1280-1,Microcopter,28
128-1,Taxi Station,33
1281-1,Aeroplane,25
128-2,Mobile Crane (Train Base),23
1282-1,Blue Racer,23
128-3,Mobile Crane (Plate Base),38
1283-1,Red Four Wheel Driver,20
1284-1,Green Buggy,23
1285-1,Yellow Tiger,23
1286-1,King Leo's Cart,22
1287-1,Crossbows,16
1288-1,Fire Cart,24
1289-1,Catapult,23
1290-1,Kabaya Promotional Set: Red (Volcano Climber) RoboRider,35
1291-1,Power Bike,32
